candidate,genre,precision,recall,f1,support
Classical TF-IDF,fiction,0.809569996766893,0.8243621399176955,0.8168991110023652,12150
Classical TF-IDF,"history, historical fiction, biography",0.6721410275726986,0.7087702573879886,0.6899698399195732,6294
Classical TF-IDF,romance,0.7560975609756098,0.7679027173097133,0.7619544168032176,6661
Classical TF-IDF,non-fiction,0.7753362379238492,0.8232099758648431,0.7985562384157643,4972
Classical TF-IDF,"fantasy, paranormal",0.6884779516358464,0.7207743857036486,0.7042560931247727,5372
Classical TF-IDF,"mystery, thriller, crime",0.6439564564564565,0.6720861900097943,0.6577206939518835,5105
Classical TF-IDF,young-adult,0.4742312689475964,0.5928532755820249,0.526948989412897,3694
Classical TF-IDF,children,0.572672218016654,0.6221217105263158,0.5963736696886086,2432
Classical TF-IDF,"comics, graphic",0.38824289405684753,0.3925538863487916,0.3903864891198441,1531
Classical TF-IDF,poetry,0.5644067796610169,0.4567901234567901,0.5049279757391963,729
Frozen E5,fiction,0.7523513005124214,0.9546502057613169,0.8415134037073312,12150
Frozen E5,"history, historical fiction, biography",0.6337308347529813,0.7683508102955195,0.6945780969479354,6294
Frozen E5,romance,0.7433132614479765,0.7968773457438822,0.769163889291407,6661
Frozen E5,non-fiction,0.7673332087460287,0.825824617860016,0.7955051826019568,4972
Frozen E5,"fantasy, paranormal",0.6915387361656551,0.7211466865227103,0.7060324403134682,5372
Frozen E5,"mystery, thriller, crime",0.6554078332734459,0.7145935357492654,0.6837222378408772,5105
Frozen E5,young-adult,0.46981832389138506,0.6510557661072008,0.5457846363326904,3694
Frozen E5,children,0.6243022756547875,0.5978618421052632,0.6107960512497375,2432
Frozen E5,"comics, graphic",0.41678035470668484,0.3990855649902025,0.4077410744077411,1531
Frozen E5,poetry,0.5039494470774092,0.4375857338820302,0.4684287812041116,729
Classical + E5 fusion,fiction,0.7771985183152695,0.9325102880658436,0.8478000598623167,12150
Classical + E5 fusion,"history, historical fiction, biography",0.6522307994243098,0.7920241499841119,0.7153619860802182,6294
Classical + E5 fusion,romance,0.773171453953213,0.7839663714157034,0.7785314945956019,6661
Classical + E5 fusion,non-fiction,0.7982725527831094,0.836484312148029,0.8169318405028482,4972
Classical + E5 fusion,"fantasy, paranormal",0.6949800531914894,0.7782948622486969,0.7342817000351247,5372
Classical + E5 fusion,"mystery, thriller, crime",0.6646297627606039,0.7243878550440744,0.6932233573905708,5105
Classical + E5 fusion,young-adult,0.47091827192818403,0.6816459122902003,0.5570180289790952,3694
Classical + E5 fusion,children,0.638676844783715,0.6192434210526315,0.6288100208768267,2432
Classical + E5 fusion,"comics, graphic",0.42478941034897716,0.4611365120836055,0.44221735045411836,1531
Classical + E5 fusion,poetry,0.5874587458745875,0.4883401920438957,0.5333333333333333,729
Fine-tuned E5 | Weighted BCE,fiction,0.7840016974326331,0.9123456790123456,0.8433184982311993,12150
Fine-tuned E5 | Weighted BCE,"history, historical fiction, biography",0.583421052631579,0.7044804575786463,0.6382611199078739,6294
Fine-tuned E5 | Weighted BCE,romance,0.7337830080367393,0.7676024620927788,0.7503118350575978,6661
Fine-tuned E5 | Weighted BCE,non-fiction,0.7681569515185814,0.8189863234111022,0.792757714396963,4972
Fine-tuned E5 | Weighted BCE,"fantasy, paranormal",0.6815742397137746,0.7092330603127327,0.6951286261631089,5372
Fine-tuned E5 | Weighted BCE,"mystery, thriller, crime",0.6466292134831461,0.6763956904995103,0.6611775969363332,5105
Fine-tuned E5 | Weighted BCE,young-adult,0.4118404118404118,0.6063887384948565,0.49052885141793495,3694
Fine-tuned E5 | Weighted BCE,children,0.6422200198216056,0.5328947368421053,0.5824719101123595,2432
Fine-tuned E5 | Weighted BCE,"comics, graphic",0.30095990965556185,0.3481384715871979,0.3228346456692913,1531
Fine-tuned E5 | Weighted BCE,poetry,0.5579598145285936,0.49519890260631,0.5247093023255814,729
Fine-tuned E5 | Asymmetric loss,fiction,0.7842355574206182,0.922880658436214,0.8479280096793709,12150
Fine-tuned E5 | Asymmetric loss,"history, historical fiction, biography",0.650946021146355,0.7434064188115665,0.6941106660732829,6294
Fine-tuned E5 | Asymmetric loss,romance,0.7415682967959528,0.7922233898813992,0.766059374319518,6661
Fine-tuned E5 | Asymmetric loss,non-fiction,0.784688995215311,0.82461786001609,0.8041580857114837,4972
Fine-tuned E5 | Asymmetric loss,"fantasy, paranormal",0.7289647150058162,0.6999255398361877,0.7141500474833808,5372
Fine-tuned E5 | Asymmetric loss,"mystery, thriller, crime",0.686400937866354,0.6881488736532811,0.6872737943852099,5105
Fine-tuned E5 | Asymmetric loss,young-adult,0.45151580305310685,0.568489442338928,0.5032953864589574,3694
Fine-tuned E5 | Asymmetric loss,children,0.6097980232058444,0.5834703947368421,0.5963437696995167,2432
Fine-tuned E5 | Asymmetric loss,"comics, graphic",0.3328631875881523,0.3082952318745918,0.32010851135978297,1531
Fine-tuned E5 | Asymmetric loss,poetry,0.5503731343283582,0.4046639231824417,0.466403162055336,729
